ticker,sector,entry_date,exit_date,entry_price,exit_price,shares,pl,pl_pct,hold_days,reason,entry_reason,action,date
ABBV,Health Care,2021-02-18,2021-02-25,88.3836368331909,89.263270362854,16,14.074136474609531,0.9952447774051826,7,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-02-25
BALL,Materials,2021-02-18,2021-02-25,85.32763588714599,81.28421212005615,17,-68.73820404052731,-4.738703615833982,7,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-02-25
BDX,Health Care,2021-02-18,2021-02-25,231.7487138519287,223.4472122955322,6,-49.80900933837893,-3.5821133237013645,7,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-02-25
BRK-B,Financials,2021-02-18,2021-02-25,243.74349999999998,243.44631243896484,6,-1.7831253662106974,-0.12192635333254684,7,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-02-25
BMY,Health Care,2021-02-18,2021-02-25,50.678954742431635,51.4728782157898,29,23.023780727386793,1.5665742859006564,7,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-02-25
BRO,Financials,2021-02-18,2021-02-25,42.98564595031738,45.242199542999266,34,76.72282215118435,5.249551432331638,7,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-02-25
CHRW,Industrials,2021-02-18,2021-02-25,81.43750391387938,80.17022254943848,18,-22.811064559936312,-1.556139743405033,7,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-02-25
DPZ,Consumer Discretionary,2021-02-18,2021-02-25,355.784597869873,319.16525646972656,4,-146.4773656005857,-10.292559492285786,7,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-02-25
EXPD,Industrials,2021-02-18,2021-02-25,89.53898872375487,87.2261402206421,16,-37.005576049804404,-2.58306301654619,7,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-02-25
GEN,Information Technology,2021-02-18,2021-02-25,18.885247072219848,18.4062350692749,79,-37.84194823265102,-2.5364349278203253,7,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-02-25
ICE,Financials,2021-02-18,2021-02-25,107.21470494842528,105.25254462432862,13,-25.508084213256552,-1.8301223932300503,7,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-02-25
LIN,Materials,2021-02-18,2021-02-25,234.34589767456052,231.1358203125,6,-19.260464172363072,-1.369803096155919,7,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-02-25
DHR,Health Care,2021-02-22,2021-02-25,196.037638671875,190.23207810974125,7,-40.6389239349362,-2.9614519953747287,3,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-02-25
TYL,Information Technology,2021-02-23,2021-02-25,462.5821151123046,460.84868756103515,3,-5.200282653808472,-0.3747286145830893,2,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-02-25
EBAY,Consumer Discretionary,2021-02-24,2021-02-25,54.66201020431518,52.34789496231079,27,-62.481111534118554,-4.2334982437614554,1,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-02-25
EA,Communication Services,2021-02-24,2021-02-25,134.3033891906738,131.65965142822265,11,-29.081115386962892,-1.9684817921443463,1,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-02-25
ABBV,Health Care,2021-02-26,2021-03-04,89.78362551116942,87.86604837799072,16,-30.68123413085914,-2.1357760084439255,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-03-04
T,Communication Services,2021-02-26,2021-03-04,15.420314997673033,15.957849723815917,95,51.06579898357404,3.4858868072669082,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-03-04
BALL,Materials,2021-02-26,2021-03-04,80.76593457794189,78.82048416137695,18,-35.018107498168774,-2.4087511978054383,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-03-04
