date,regime,regime_changed,signals_generated,buy_orders,sell_orders,positions_open,portfolio_value,cash,exposure_pct
2025-03-13,NEUTRAL_BULLISH,False,149,0,0,6,129313.83772888321,65994.839281465,48.96536949136994
2025-03-14,NEUTRAL_BULLISH,False,161,0,0,6,129509.84108200211,65994.839281465,49.04260654626326
2025-03-17,NEUTRAL_BULLISH,False,173,0,0,6,130477.43854370255,65994.839281465,49.42049750665479
2025-03-18,NEUTRAL_BULLISH,False,172,1,0,7,129938.26526155729,55637.87270632047,57.181302525222236
2025-03-19,NEUTRAL_BULLISH,False,184,0,0,7,129959.43617143888,55637.87270632047,57.18827786162096
2025-03-20,NEUTRAL_BULLISH,False,184,0,0,7,129860.90779390592,55637.87270632047,57.15579564974254
2025-03-21,NEUTRAL_BULLISH,False,185,0,0,7,129409.38291063566,55637.87270632047,57.00630707377571
2025-03-24,NEUTRAL_BULLISH,False,198,1,0,8,130249.62919911,45248.59789951894,65.26009465228626
2025-03-25,NEUTRAL_BULLISH,False,196,0,0,8,130039.5164709911,45248.59789951894,65.20396328172069
2025-03-26,NEUTRAL_BULLISH,False,190,0,0,8,130172.13483341786,45248.59789951894,65.23941321433819
2025-03-27,NEUTRAL_BULLISH,False,194,0,0,8,130139.03096302602,45248.59789951894,65.23057105567769
2025-03-28,NEUTRAL_BULLISH,False,178,0,0,8,128883.178443037,45248.59789951894,64.8917737394895
2025-03-31,NEUTRAL_BULLISH,False,189,0,1,7,129466.7847715777,53910.81206192194,58.359348958083366
2025-04-01,NEUTRAL_BULLISH,False,116,1,0,8,129200.21705696148,43563.28970024151,66.28234015966441
2025-04-02,NEUTRAL_BULLISH,False,116,0,0,8,129705.31612464947,43563.28970024151,66.41364363325224
2025-04-03,NEUTRAL_BEARISH,True,70,0,3,5,128027.9211890446,76074.9453284489,40.579410630187866
2025-04-04,BEAR_WEAK,True,35,2,3,4,125336.52134916876,84294.09322569464,32.74578525211823
2025-04-07,BEAR_WEAK,False,42,0,0,4,126922.9014532337,84294.09322569464,33.58638018785457
2025-04-08,BEAR_WEAK,False,40,0,0,4,125934.82841703985,84294.09322569464,33.065305058779856
2025-04-09,NEUTRAL_BEARISH,True,72,4,2,6,130405.85233656067,67359.10097089905,48.34656592170886
2025-04-10,NEUTRAL_BEARISH,False,66,0,0,6,128016.8354145636,67359.10097089905,47.382622955202294
2025-04-11,NEUTRAL_BEARISH,False,67,0,0,6,127556.10721937317,67359.10097089905,47.19257083076884
2025-04-14,NEUTRAL_BEARISH,False,66,0,0,6,127840.90846983093,67359.10097089905,47.31021409567418
2025-04-15,NEUTRAL_BEARISH,False,69,0,0,6,129131.16481748718,67359.10097089905,47.836681357204675
2025-04-16,BEAR_WEAK,True,45,0,2,4,127058.02868412907,88406.08930729801,30.42069814645181
2025-04-17,BEAR_WEAK,False,46,0,0,4,127286.65909146244,88406.08930729801,30.545675455451
2025-04-21,BEAR_WEAK,False,39,0,0,4,125617.28973721439,88406.08930729801,29.62267416194101
2025-04-22,BEAR_WEAK,False,46,0,0,4,126784.8995165723,88406.08930729801,30.270805400021406
2025-04-23,NEUTRAL_BEARISH,True,68,0,0,4,128973.65974949772,88406.08930729801,31.45415158489964
2025-04-24,NEUTRAL_BEARISH,False,73,0,0,4,131665.37971638615,88406.08930729801,32.855478412222574
2025-04-25,NEUTRAL_BEARISH,False,73,0,0,4,133030.14912175114,88406.08930729801,33.544320673964314
2025-04-28,NEUTRAL_BEARISH,False,78,0,0,4,133994.90004872257,88406.08930729801,34.022795438369506
2025-04-29,NEUTRAL_BEARISH,False,76,1,1,4,134222.05225905988,90809.93159255598,32.34350833998191
2025-04-30,NEUTRAL_BEARISH,False,78,1,1,4,131742.80219405584,88575.35195296697,32.76645822175821
2025-05-01,NEUTRAL_BEARISH,False,280,2,0,6,132124.20282267677,67455.10406016457,48.94568699824383
2025-05-02,NEUTRAL_BEARISH,False,325,0,0,6,135292.94290446388,67455.10406016457,50.14144669186663
2025-05-05,NEUTRAL_BEARISH,False,352,0,1,5,134542.43111950697,79675.49250943007,40.7803977923823
2025-05-06,NEUTRAL_BEARISH,False,354,0,0,5,133486.11248928847,79675.49250943007,40.31177399385004
2025-05-07,NEUTRAL_BEARISH,False,380,0,0,5,133717.572953766,79675.49250943007,40.41509223549956
2025-05-08,NEUTRAL_BULLISH,True,405,1,0,6,136487.57470613532,68724.21437746099,49.648006768800954
2025-05-09,NEUTRAL_BULLISH,False,416,0,0,6,135773.15563303046,68724.21437746099,49.38306172745241
2025-05-12,NEUTRAL_BULLISH,False,420,2,1,7,138272.67458802502,59124.45587807936,57.240679653997404
2025-05-13,BULL_WEAK,True,425,1,0,8,142731.2428321106,47701.539010928376,66.57946917267589
2025-05-14,BULL_WEAK,False,423,1,1,8,143041.9442575908,49545.2126272655,65.3631577196377
2025-05-15,BULL_WEAK,False,426,1,0,9,141369.4423148295,38215.754372324634,72.96745764390991
2025-05-16,BULL_WEAK,False,428,0,0,9,142521.5890891215,38215.754372324634,73.18598914272029
2025-05-19,BULL_WEAK,False,429,1,0,10,141934.90237724158,26838.65751945348,81.09086836997965
2025-05-20,BULL_WEAK,False,427,0,0,10,140683.46359359595,26838.65751945348,80.92266366359549
2025-05-21,BULL_WEAK,False,415,0,1,9,137769.6482436002,37506.909321481085,72.77563686947762
2025-05-22,BULL_WEAK,False,411,0,0,9,138304.37080829748,37506.909321481085,72.88089371125582
